id;project_name;reason;type;division;category;priority;department;start_date;end_date;location;status
1;uh-huh;BUSSINESS;INTERNAL;GLASS;QUALITY_B;HIGH;QUALITY;2024-04-07T17:15:53;2024-04-07T10:32:45;if;judgementally zowie afraid
2;yahoo;TRANSPORT;INTERNAL;GLASS;QUALITY_B;LOW;QUALITY;2024-04-07T16:09:46;2024-04-07T19:13:48;some intensely;shocked taut swiftly
3;increase before;BUSSINESS;VENDER;GLASS;QUALITY_C;HIGH;MENTAINANCE;2024-04-07T21:57:34;2024-04-07T18:11:29;sanity cement amid;off eek bah
4;eek;BUSSINESS;VENDER;GLASS;QUALITY_B;LOW;FINANCE;2024-04-08T02:20:47;2024-04-07T15:20:53;even roommate;inside
5;so phooey limply;DELERSHIP;VENDER;COMPRESSER;QUALITY_D;MEDIUM;QUALITY;2024-04-07T20:48:41;2024-04-07T15:35:24;united amused;undershoot who
6;wavy during glory;BUSSINESS;VENDER;FILTERS;QUALITY_C;HIGH;FINANCE;2024-04-07T23:28:57;2024-04-07T10:12:02;whenever;inasmuch
7;ha now holster;BUSSINESS;VENDER;FILTERS;QUALITY_B;HIGH;STARTEGY;2024-04-07T06:40:09;2024-04-07T08:03:24;sympathise snowman poorly;amidst zany
8;phew;TRANSPORT;VENDER;FILTERS;QUALITY_D;LOW;STORES;2024-04-08T00:04:06;2024-04-07T21:57:53;below;burly ken curry
9;meh sleepily;BUSSINESS;VENDER;PUMPS;QUALITY_C;MEDIUM;STORES;2024-04-08T03:18:51;2024-04-08T00:46:16;furthermore meh;avail poor strong
10;studious;TRANSPORT;EXTERNAL;COMPRESSER;QUALITY_C;LOW;STORES;2024-04-07T21:55:33;2024-04-07T18:26:49;bandwidth carefully;under
